file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2016_2015-P_P-D_D-B02_B02-2_2-R_R-02_0007_39616_to_45819,མགོ་ནས་ལབ་ད་ག་རེ་རེད། ཨ། སྔན་མ་སྔན་མ་ལབ་དགོས་བས། བུ་གཅིག་ཡོད་རེད་ད། བུ་འདིའི་མིང་ལ།  ,mgo nas lab da ga re red/_a/_sngan ma sngan ma lab dgos bas/_bu gcig yod red da/_bu 'di'i ming la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2015-P_P-D_D-B02_B02-2_2-R_R-02_0007_39616_to_45819.wav,STT_CS,3,85,6.203,wav16k/STT_CS-L-2016_2015-P_P-D_D-B02_B02-2_2-R_R-02_0007_39616_to_45819.wav,གོ་ལ་ག་རེད། ཨོ། སྔོན་མ་སྔོན་མ་ལབ་དགོས་བེ། བུ་གཅིག་ཡོད་རེད་ད། བུ་དེའི་མིང་ལ།
STT_MV0340_0124_874695_to_884694,མཐོང་ཀི་མ་རེད་ལགས། བྱས་ན་བུ་ཁྲུས་གཅིག་རྒྱབ་དེ་ཨ་ར་འདི་བཟོ་ལྟ་བཟོས། བཟོ་དགོས་མི་འདུག པ་ལགས་ཞེ་བོ་གཅིག་བག་བྲོ་པོ་ཞེ་བོ་ཞིག་འདུག བཞུགས་གནང་ད་ སྣང་དག་མི་འདུག སྣང་དག་མི་འདུག་ ,mthong ki ma red lags/_byas na bu khrus gcig rgyab de a ra 'di bzo lta bzos/_bzo dgos mi 'dug_pa lags zhe bo gcig bag bro po zhe bo zhig 'dug_bzhugs gnang da _snang dag mi 'dug_snang dag mi 'dug _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0340_0124_874695_to_884694.wav,STT_MV,3,170,9.999,wav16k/STT_MV0340_0124_874695_to_884694.wav,ཐུག་གི་མ་རེད་ལག། རད་དང་་ལགས། ཨེ་ནས་བྱས་ན་བུ་ངས་འཁྲུས་གཅིག་བརྒྱབ། འདི་ཨར་དེ་བཟོ་ལྟ་བཟོས། བཟོ་གོ་མི་འདུག པ་ལགས་རྒྱལ་པོ་གཅིག་གིས་བག་འགྲོ་བོ་ཞེ་བོ་གཅིག་འདུག བྱུངས་གནང་་ད་མི་འདུག སྣང་དག་མི་འདུག
STT_MV0340_0128_906774_to_911290,ལེ་ཚན་ཟླ་བའི་གཞོན་ནུ་ཞེས་པའི་གཙོ་གྱུར་མི་སྣ་པ་བཀྲ་ཤིས་ལགས་ངོ་སྤྲོད་ཞུ་ཀི་ཡིན།  ,le tshan zla ba'i gzhon nu zhes pa'i gtso gyur mi sna pa bkra shis lags ngo sprod zhu ki yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0340_0128_906774_to_911290.wav,STT_MV,3,79,4.516,wav16k/STT_MV0340_0128_906774_to_911290.wav,ལེ་ཚན་ཟླ་བའི་གཞོན་ནུ་ཞེས་པའི་གཙོ་འགྱུར་མི་སྣ་ དཔའ་བཀྲ་ཤིས་ལགས་ངོ་སྤྲོད་ཞུ་གི་ཡིན།
STT_NS_M0485_0184_1463381_to_1465460,སྤང་ཐང་ན་མ་སོང་ནས་འདི་ཡོད་བ་ག་རེ་རེད།  ,spang thang na ma song nas 'di yod ba ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0485_0184_1463381_to_1465460.wav,STT_NS,3,39,2.079,wav16k/STT_NS_M0485_0184_1463381_to_1465460.wav,སྤང་ཐང་ན་མ་སོང་ནས་འདི་ཡོད་བ་ག་རེ།
STT_MV0484_0164_1244540_to_1254539,ད་ལྟ་བར་ལ་གསོན་ཐུབ་པ་ཁྱེད་རང་གི་བཀའ་དྲིན་ཡིན། ཁྱེད་རང་གྲོང་ཁྱེར་ནས་ཞལ་གྱེས་པ་མ་རེད་པེ། ད་ག་རེད་རྒྱལ་སྲས་མཆོག ངར་མ་ཉེས་ཁ་གཡོག་བྱས་ཙང་མ་འགྲོ་ཀ་མེད་ལ་ཐུག་བྱུང་།  ,da lta bar la gson thub pa khyed rang gi bka' drin yin/_khyed rang grong khyer nas zhal gyes pa ma red pe/_da ga red rgyal sras mchog_ngar ma nyes kha g.yog byas tsang ma 'gro ka med la thug byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0484_0164_1244540_to_1254539.wav,STT_MV,3,159,9.999,wav16k/STT_MV0484_0164_1244540_to_1254539.wav,ད་ལྟ་བར་ལ་གསོན་ཐུབ་པ་ཁྱེད་རང་གི་བཀའ་དྲིན་ཡིན། ཁྱེད་རང་གྲོང་ཁྱེར་ནས་ཞལ་བརྒྱབ་པ་མ་རེད་པེ། ད་ག་རེད་རྒྱལ་སྲས་མཆོག ང་མ་ཉེས་ཁ་གཡོག་བྱས་ཙང་མ་འགྲོ་ཀ་མེད་ལ་ཐུག་བྱུང་།
STT_MV0340_0109_760462_to_768333,པ་ལགས་ཁྱོད་གཉིས་སྐྱིད་པོ་བྱུང་ན་ང་ཡང་སྐྱིད་པ་འདུག ཁ་ཕར་བཞུགས་བཞུགས་ཞིག་བུ་བཞུགས་ཤིག དེ་བེ་ཅིས་བཏང་། བཞུགས་དང་། བཞུགས་དང་། ཨ་མ་ལགས་བཞུགས་དང་ཨོ་ཀོ། འོ་བྱས་པེ། ངས་པ་ལགས་དང་ཨ་མ་ལགས།  ,pa lags khyod gnyis skyid po byung na nga yang skyid pa 'dug_kha phar bzhugs bzhugs zhig bu bzhugs shig_de be cis btang /_bzhugs dang /_bzhugs dang /_a ma lags bzhugs dang o ko/_'o byas pe/_ngas pa lags dang a ma lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0340_0109_760462_to_768333.wav,STT_MV,3,179,7.871,wav16k/STT_MV0340_0109_760462_to_768333.wav,པ་ལགས་ཁྱེད་གཉིས་སྐྱིད་པོ་བྱུང་ན་ང་ཡེ་སྐྱིད་པོ་འདུག ཁ་ཏག་ཞུ་ཞུ་ུ་ཤ་་། ངས་བེད་སྤྱོག་བཏང་གོས་ཤོག་་་་། བཞུགས་ད་ཨ་མ་ལགས་བཞུགས་ད། སྤོ། འོ་བྱས་པེ། ངས་པ་ལགས་དང་ཨ་མ་ལགས་
STT_MV0340_0115_799387_to_804681,ག་རེ། ཆོ་པི་བྱེད་དགོས་མ་རེད། ཨ་མས་འདུག་ཟེར། དེ་དེང་དུས་ལེའུ་ཤིང་རེད། ཨ་མ་ལགས་རང་ཆོ་པི་ཞིག་གནང་དང་། ཡ་ཡ་པུ་གུའི་བློ་འདོད་ཡིན་ད།  ,ga re/_cho pi byed dgos ma red/_a mas 'dug zer/_de deng dus le'u shing red/_a ma lags rang cho pi zhig gnang dang /_ya ya pu gu'i blo 'dod yin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0340_0115_799387_to_804681.wav,STT_MV,3,128,5.294,wav16k/STT_MV0340_0115_799387_to_804681.wav,ག་རེ། ད་ཅའོ་པིེ་བྱེད་དགོས་མ་རེད་ཨ་། ད་དེང་དུས་ཀི་ལེའུ་ཞིས་རེད་བྱས། ཨ་་ད་ཅོ་པེ་ཅིག་གནང་དེ ཡ་ཡ པུ་གུའི་བློ་ལྡེན་རེད་ཡིན་ད
STT_MV0340_0117_828831_to_831383,ཨོ་ཙི་ཡར་ཕེབས་དང་། ཧཧ་ལོ།  ,o tsi yar phebs dang /_haha lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0340_0117_828831_to_831383.wav,STT_MV,3,27,2.552,wav16k/STT_MV0340_0117_828831_to_831383.wav,ཨ་ཙི་ ཡར་ཕེབས་ད། ། ལ།
STT_MV0802_0349_2447546_to_2453998,དམག་དཔོན་མཆོག་སྙན་སེང་ཞུ་རྒྱུར། དམག་སྤྱི་ཆེན་མོ་ཁོ་རང་ཚོ་ཚང་མ་ས་མཚམས་ངོགས་ལ་ཕེབས་ཀི་ཟ།  ,dmag dpon mchog snyan seng zhu rgyur/_dmag spyi chen mo kho rang tsho tshang ma sa mtshams ngogs la phebs ki za/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0802_0349_2447546_to_2453998.wav,STT_MV,3,88,6.452,wav16k/STT_MV0802_0349_2447546_to_2453998.wav,དམག་དཔོན་མཆོག སྙན་སེང་ཞུ་རྒྱུར། དམག་སྤྱི་ཆེན་མོ་ཁོ་རང་ཚོ་ཚང་མ་ས་མཚམས་སྔོགས་ལ་ཕེབས་ཀི་ཟ།
STT_MV0484_0166_1263743_to_1266453,ལོ་འདི་གས་ནང་ཁྱེད་རང་ག་པར་ཐེད་པཱ།  ,lo 'di gas nang khyed rang ga par thed pA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0484_0166_1263743_to_1266453.wav,STT_MV,3,35,2.71,wav16k/STT_MV0484_0166_1263743_to_1266453.wav,ལོ་འདི་གས་ནང་ཁྱེད་རང་ག་པར་ཐེད་པ།
